,NAME,host id,host_identity_verified,host name,neighbourhood group,neighbourhood,lat,long,country,country code,instant_bookable,cancellation_policy,room type,Construction year,price,service fee,minimum nights,number of reviews
0,Clean & quiet apt home by the park,80014485718,Unconfirmed,Madaline,Brooklyn,Kensington,40.64749,-73.97237,United States,US,0,strict,Private room,2020.0,966,193,10.0,9.0
1,Skylit Midtown Castle,52335172823,Verified,Jenna,Manhattan,Midtown,40.75362,-73.98377,United States,US,0,moderate,Entire home/apt,2007.0,142,28,30.0,45.0
2,Entire Apt: Spacious Studio/Loft by central park,92037596077,Verified,Lyndon,Manhattan,East Harlem,40.79851,-73.94399,United States,US,0,moderate,Entire home/apt,2009.0,204,41,10.0,9.0
3,Large Cozy 1 BR Apartment In Midtown East,45498551794,Verified,Michelle,Manhattan,Murray Hill,40.74767,-73.975,United States,US,1,flexible,Entire home/apt,2013.0,577,115,3.0,74.0
4,BlissArtsSpace!,90821839709,Unconfirmed,Emma,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,United States,US,0,moderate,Private room,2009.0,1060,212,45.0,49.0
5,Large Furnished Room Near B'way,79384379533,Verified,Evelyn,Manhattan,Hell's Kitchen,40.76489,-73.98493,United States,US,1,strict,Private room,2005.0,1018,204,2.0,430.0
6,Cozy Clean Guest Room - Family Apt,75527839483,Unconfirmed,Carl,Manhattan,Upper West Side,40.80178,-73.96723,United States,US,0,strict,Private room,2015.0,291,58,2.0,118.0
7,Cute & Cozy Lower East Side 1 bdrm,1280143094,Verified,Miranda,Manhattan,Chinatown,40.71344,-73.99037,United States,US,0,flexible,Entire home/apt,2004.0,319,64,1.0,160.0
8,Beautiful 1br on Upper West Side,18824631834,Verified,Alan,Manhattan,Upper West Side,40.80316,-73.96545,United States,US,1,flexible,Entire home/apt,2008.0,606,121,5.0,53.0
9,"Lovely Room 1, Garden, Best Area, Legal rental",26802410424,Verified,Darcy,brookln,South Slope,40.66829,-73.98779,United States,US,1,moderate,Private room,2010.0,580,116,4.0,167.0
10,Wonderful Guest Bedroom in Manhattan for SINGLES,88920244552,Verified,Leonardo,Manhattan,Upper West Side,40.79826,-73.96113,United States,US,0,flexible,Private room,2019.0,149,30,2.0,113.0
11,Large B&B Style rooms,57938703679,Unconfirmed,Jared,Brooklyn,Bedford-Stuyvesant,40.6831,-73.95473,United States,US,1,strict,Private room,2016.0,191,38,1.0,74.0
12,"Lovely room 2 & garden; Best area, Legal rental",53343148512,Verified,Brad,Brooklyn,South Slope,40.66869,-73.9878,United States,US,1,moderate,Private room,2003.0,1111,222,4.0,168.0
13,Clean and Quiet in Brooklyn,26207748876,Verified,Arthur,Brooklyn,Bedford-Stuyvesant,40.68876,-73.94312,United States,US,0,moderate,Private room,2004.0,203,41,60.0,0.0
14,Cute apt in artist's home,88653822946,Verified,Joyce,Brooklyn,Bushwick,40.70186,-73.92745,United States,US,1,moderate,Entire home/apt,2005.0,1097,219,2.0,231.0
15,Country space in the city,49725315867,Verified,Deanna,Brooklyn,Flatbush,40.63702,-73.96327,United States,US,1,strict,Private room,2011.0,1020,204,1.0,0.0
16,ENJOY Downtown NYC!,63131487263,Unconfirmed,Byron,Manhattan,East Village,40.7229,-73.98199,United States,US,0,strict,Private room,2005.0,563,113,2.0,245.0
17,Beautiful Sunny Park Slope Brooklyn,50357575975,Verified,Alina,Brooklyn,South Slope,40.66278,-73.97966,United States,US,1,flexible,Entire home/apt,2020.0,370,74,3.0,15.0
18,West Side Retreat,55430108992,Unconfirmed,Alford,Manhattan,Upper West Side,40.79009,-73.97927,United States,US,0,strict,Private room,2017.0,856,171,4.0,81.0
19,BEST BET IN HARLEM,2107606817,Unconfirmed,Chester,Manhattan,Harlem,40.81175,-73.94478,United States,US,1,flexible,Entire home/apt,2006.0,62,12,7.0,97.0
20,Williamsburg 1 bedroom Apartment,84933495312,Unconfirmed,Paul,Brooklyn,Williamsburg,40.70881,-73.9593,United States,US,0,moderate,Entire home/apt,2012.0,439,88,30.0,105.0
21,Double Room w Private Deck Clinton Hill Best Area,71078326464,Unconfirmed,William,Brooklyn,Clinton Hill,40.69,-73.96788,United States,US,0,flexible,Private room,2010.0,825,165,7.0,27.0
